target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;2;44937;0;38;1;1;0;1;;12;1;1;18;1;1
;2;44985;0;14;1;1;0;1;11001;1;3;4;1;0;
;2;44973;0;36;1;2;0;1;;6;1;1;25;1;1
;2;44579;0;15;1;1;0;1;11001;5;1;2;17;0;1
;2;44893;0;7;2;1;0;1;;6;1;1;56;1;1
;2;44893;0;7;2;1;0;1;;6;1;1;56;1;1
;2;44893;0;7;2;1;0;1;;6;1;1;56;1;1
;2;44893;0;7;2;1;0;1;;6;1;1;56;1;1
;2;44782;0;15;1;1;1;1;;32;1;1;17;1;1
;2;44953;0;25;1;2;0;1;;18;1;1;8;1;1
;2;44986;0;8;1;1;0;1;5001;3;3;4;1;0;
;2;44945;0;38;1;1;0;1;;14;1;1;60;1;1
;2;44928;0;25;1;2;0;1;;1;1;1;13;1;1
;2;44928;0;23;1;2;0;1;;1;1;1;12;1;1
;2;44861;0;16;1;1;0;1;;3;1;1;24;1;1
;2;44785;0;25;2;1;0;1;;1;1;1;9;1;1
;2;44785;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44984;0;14;1;4;0;1;11001;1;3;4;1;0;
;2;44985;0;14;1;1;0;1;76001;1;3;4;1;0;
;2;44909;0;38;1;1;0;1;;12;1;1;10;1;1
;2;44867;0;7;2;1;0;1;;6;1;1;35;1;1
;2;44886;0;25;1;2;0;1;;6;1;1;56;1;1
;2;44869;0;7;2;1;0;1;;6;1;1;20;1;1
;2;44841;0;25;1;1;0;1;;6;1;1;17;1;1
;2;44841;0;8;1;1;0;1;;3;1;1;14;1;1
;2;44965;0;25;1;5;0;1;73001;6;4;5;;0;1
;2;44866;0;7;2;1;0;1;;1;1;1;81;1;1
;2;44901;0;25;2;2;0;1;;1;1;1;14;1;1
;2;44938;0;25;2;5;0;1;68081;1;4;5;;0;1
;2;44873;0;7;2;1;0;1;;1;1;1;16;1;1
